person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
300018,WA,,Yea,Sen. Maria Cantwell [D],Democrat,"Cantwell, Maria",senatorcantwell,WA,D
300019,DE,,Yea,Sen. Thomas Carper [D],Democrat,"Carper, Thomas ",senatorcarper,DE,D
300025,ME,,Nay,Sen. Susan Collins [R],Republican,"Collins, Susan ",senatorcollins,ME,R
300027,TX,,Nay,Sen. John Cornyn [R],Republican,"Cornyn, John",johncornyn,TX,R
300030,ID,,Nay,"Sen. Michael “Mike” Crapo [R, 1999-2028]",Republican,"Crapo, Mike",mikecrapo,ID,R
300038,IL,,Yea,Sen. Richard Durbin [D],Democrat,Dick Durbin D-IL,senatordurbin,IL,D
300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2023]",Democrat,Dianne Feinstein D-CA,senfeinstein,CA,D
300047,SC,,Nay,Sen. Lindsey Graham [R],Republican,"Graham, Lindsey",lindseygrahamsc,SC,R
300048,IA,,Nay,"Sen. Charles “Chuck” Grassley [R, 1981-2028]",Republican,"Grassley, Chuck",chuckgrassley,IA,R
300055,OK,,Nay,"Sen. James “Jim” Inhofe [R, 1994-2022]",Republican,,,,
300065,VT,,Yea,"Sen. Patrick Leahy [D, 1975-2022]",Democrat,Patrick Leahy D-VT,senatorleahy,VT,D
300072,KY,,Nay,Sen. Mitch McConnell [R],Republican,Mitch McConnell R-KY,senatemajldr,KY,R
300075,AK,,Nay,"Sen. Lisa Murkowski [R, 2003-2028]",Republican,"Murkowski, Lisa",lisamurkowski,AK,R
300076,WA,,Yea,"Sen. Patty Murray [D, 1993-2028]",Democrat,"Murray, Patty",pattymurray,WA,D
300081,RI,,Yea,Sen. John F. “Jack” Reed [D],Democrat,Jack Reed D-RI,senjackreed,RI,D
300087,NY,,Yea,"Sen. Charles “Chuck” Schumer [D, 1999-2028]",Democrat,Chuck Schumer D-NY,senschumer,NY,D
300089,AL,,Nay,"Sen. Richard Shelby [R, 1987-2022]",Republican,Richard Shelby R-AL,senshelby,AL,R
300093,MI,,Yea,Sen. Debbie Stabenow [D],Democrat,Debbie Stabenow D-MI,senstabenow,MI,D
300100,OR,,Yea,"Sen. Ron Wyden [D, 1996-2028]",Democrat,"Wyden, Ron",ronwyden,OR,D
400013,WI,,Yea,Sen. Tammy Baldwin [D],Democrat,"Baldwin, Tammy",senatorbaldwin,WI,D
400032,TN,,Nay,Sen. Marsha Blackburn [R],Republican,"Blackburn, Marsha",marshablackburn,TN,R
400034,MO,,Nay,"Sen. Roy Blunt [R, 2011-2022]",Republican,,,,
400040,AR,,Nay,"Sen. John Boozman [R, 2011-2028]",Republican,"Boozman, John",johnboozman,AR,R
400050,OH,,Yea,Sen. Sherrod Brown [D],Democrat,"Brown, Sherrod",sensherrodbrown,OH,D
400054,NC,,Nay,"Sen. Richard Burr [R, 2005-2022]",Republican,Richard Burr R-NC,senatorburr,NC,R
400061,WV,,Nay,Sen. Shelley Moore Capito [R],Republican,"Capito, Shelley Moore",sencapito,WV,R
400064,MD,,Yea,Sen. Benjamin Cardin [D],Democrat,Ben Cardin D-MD,senatorcardin,MD,D
400253,MA,,Yea,Sen. Edward “Ed” Markey [D],Democrat,Ed Markey D-MA,senmarkey,MA,D
400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat,"Menendez, Bob",senatormenendez,NJ,D
400284,KS,,Nay,"Sen. Jerry Moran [R, 2011-2028]",Republican,"Moran, Jerry",jerrymoran,KS,R
400325,OH,,Nay,"Sen. Robert “Rob” Portman [R, 2011-2022]",Republican,Rob Portman R-OH,senrobportman,OH,R
400357,VT,,Yea,Sen. Bernard “Bernie” Sanders [I],Independent,Bernard Sanders I-VT,sensanders,VT,I
400408,PA,,Nay,"Sen. Patrick “Pat” Toomey [R, 2011-2022]",Republican,Pat Toomey R-PA,sentoomey,PA,R
400415,MD,,Yea,"Sen. Chris Van Hollen [D, 2017-2028]",Democrat,"Van Hollen, Chris",chrisvanhollen,MD,D
400432,MS,,Nay,Sen. Roger Wicker [R],Republican,Roger Wicker R-MS,senatorwicker,MS,R
400546,SD,,Nay,"Sen. John Thune [R, 2005-2028]",Republican,John Thune R-SD,senjohnthune,SD,R
412194,CT,,Yea,Sen. Christopher Murphy [D],Democrat,"Murphy, Christopher",chrismurphyct,CT,D
412200,HI,,Yea,Sen. Mazie Hirono [D],Democrat,"Hirono, Mazie ",maziehirono,HI,D
412223,NY,,Yea,Sen. Kirsten Gillibrand [D],Democrat,"Gillibrand, Kirsten ",sengillibrand,NY,D
412242,MN,,Yea,Sen. Amy Klobuchar [D],Democrat,"Klobuchar, Amy",senamyklobuchar,MN,D
412244,MT,,Yea,Sen. Jon Tester [D],Democrat,Jon Tester D-MT,senatortester,MT,D
412246,PA,,Yea,Sen. Robert “Bob” Casey [D],Democrat,"Casey, Robert Jr.",senbobcasey,PA,D
412247,RI,,Yea,Sen. Sheldon Whitehouse [D],Democrat,Sheldon Whitehouse D-RI,senwhitehouse,RI,D
412251,WY,,Nay,Sen. John Barrasso [R],Republican,"Barrasso, John",senjohnbarrasso,WY,R
412269,LA,,Nay,Sen. Bill Cassidy [R],Republican,Bill Cassidy R-LA,senbillcassidy,LA,R
412281,NM,,Yea,Sen. Martin Heinrich [D],Democrat,"Heinrich, Martin",martinheinrich,NM,D
412293,NM,,Yea,Sen. Ben Ray Luján [D],Democrat,Ben Lujan D-NM,senatorlujan,NM,D
412294,WY,,Nay,Sen. Cynthia Lummis [R],Republican,Cynthia Lummis R-WY,senlummis,WY,R
412305,MI,,Yea,Sen. Gary Peters [D],Democrat,Gary Peters D-MI,sengarypeters,MI,D
