Senate Vote #110 2021-03-06T12:12:00 - H.R. 1319 (117th): American Rescue Plan Act of 2021
person,state,district,vote,name,party
300018,WA,,Yea,Sen. Maria Cantwell [D],Democrat
300019,DE,,Yea,Sen. Thomas Carper [D],Democrat
300025,ME,,Nay,Sen. Susan Collins [R],Republican
300027,TX,,Nay,Sen. John Cornyn [R],Republican
300030,ID,,Nay,"Sen. Michael “Mike” Crapo [R, 1999-2028]",Republican
300038,IL,,Yea,Sen. Richard Durbin [D],Democrat
300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2023]",Democrat
300047,SC,,Nay,Sen. Lindsey Graham [R],Republican
300048,IA,,Nay,"Sen. Charles “Chuck” Grassley [R, 1981-2028]",Republican
300055,OK,,Nay,"Sen. James “Jim” Inhofe [R, 1994-2022]",Republican
300065,VT,,Yea,"Sen. Patrick Leahy [D, 1975-2022]",Democrat
300072,KY,,Nay,Sen. Mitch McConnell [R],Republican
300075,AK,,Nay,"Sen. Lisa Murkowski [R, 2003-2028]",Republican
300076,WA,,Yea,"Sen. Patty Murray [D, 1993-2028]",Democrat
300081,RI,,Yea,Sen. John F. “Jack” Reed [D],Democrat
300087,NY,,Yea,"Sen. Charles “Chuck” Schumer [D, 1999-2028]",Democrat
300089,AL,,Nay,"Sen. Richard Shelby [R, 1987-2022]",Republican
300093,MI,,Yea,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Yea,"Sen. Ron Wyden [D, 1996-2028]",Democrat
400013,WI,,Yea,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Nay,Sen. Marsha Blackburn [R],Republican
400034,MO,,Nay,"Sen. Roy Blunt [R, 2011-2022]",Republican
400040,AR,,Nay,"Sen. John Boozman [R, 2011-2028]",Republican
400050,OH,,Yea,Sen. Sherrod Brown [D],Democrat
400054,NC,,Nay,"Sen. Richard Burr [R, 2005-2022]",Republican
400061,WV,,Nay,Sen. Shelley Moore Capito [R],Republican
400064,MD,,Yea,Sen. Benjamin Cardin [D],Democrat
400253,MA,,Yea,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat
400284,KS,,Nay,"Sen. Jerry Moran [R, 2011-2028]",Republican
400325,OH,,Nay,"Sen. Robert “Rob” Portman [R, 2011-2022]",Republican
400357,VT,,Yea,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Nay,"Sen. Patrick “Pat” Toomey [R, 2011-2022]",Republican
400415,MD,,Yea,"Sen. Chris Van Hollen [D, 2017-2028]",Democrat
400432,MS,,Nay,Sen. Roger Wicker [R],Republican
400546,SD,,Nay,"Sen. John Thune [R, 2005-2028]",Republican
412194,CT,,Yea,Sen. Christopher Murphy [D],Democrat
412200,HI,,Yea,Sen. Mazie Hirono [D],Democrat
412223,NY,,Yea,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Yea,Sen. Amy Klobuchar [D],Democrat
412244,MT,,Yea,Sen. Jon Tester [D],Democrat
412246,PA,,Yea,Sen. Robert “Bob” Casey [D],Democrat
412247,RI,,Yea,Sen. Sheldon Whitehouse [D],Democrat
412251,WY,,Nay,Sen. John Barrasso [R],Republican
412269,LA,,Nay,Sen. Bill Cassidy [R],Republican
412281,NM,,Yea,Sen. Martin Heinrich [D],Democrat
412293,NM,,Yea,Sen. Ben Ray Luján [D],Democrat
412294,WY,,Nay,Sen. Cynthia Lummis [R],Republican
412305,MI,,Yea,Sen. Gary Peters [D],Democrat
412321,VA,,Yea,Sen. Mark Warner [D],Democrat
412322,ID,,Nay,Sen. James Risch [R],Republican
412323,NH,,Yea,Sen. Jeanne Shaheen [D],Democrat
412325,OR,,Yea,Sen. Jeff Merkley [D],Democrat
412330,CO,,Yea,"Sen. Michael Bennet [D, 2009-2028]",Democrat
412390,DE,,Yea,Sen. Christopher Coons [D],Democrat
412391,WV,,Yea,Sen. Joe Manchin [I],Democrat
412428,IN,,Nay,"Sen. Todd Young [R, 2017-2028]",Republican
412464,OK,,Nay,"Sen. James Lankford [R, 2015-2028]",Republican
412471,SC,,Nay,"Sen. Tim Scott [R, 2013-2028]",Republican
412490,CT,,Yea,"Sen. Richard Blumenthal [D, 2011-2028]",Democrat
412491,FL,,Nay,"Sen. Marco Rubio [R, 2011-2028]",Republican
412492,KY,,Nay,"Sen. Rand Paul [R, 2011-2028]",Republican
412494,ND,,Nay,"Sen. John Hoeven [R, 2011-2028]",Republican
412495,UT,,Nay,"Sen. Mike Lee [R, 2011-2028]",Republican
412496,WI,,Nay,"Sen. Ron Johnson [R, 2011-2028]",Republican
412507,HI,,Yea,"Sen. Brian Schatz [D, 2012-2028]",Democrat
412508,AR,,Nay,Sen. Tom Cotton [R],Republican
412509,AZ,,Yea,Sen. Kyrsten Sinema [I],Democrat
412533,IL,,Yea,"Sen. Tammy Duckworth [D, 2017-2028]",Democrat
412542,MA,,Yea,Sen. Elizabeth Warren [D],Democrat
412545,ME,,Yea,Sen. Angus King [I],Independent
412549,MT,,Nay,Sen. Steve Daines [R],Republican
412555,ND,,Nay,Sen. Kevin Cramer [R],Republican
412556,NE,,Nay,Sen. Deb Fischer [R],Republican
412573,TX,,Nay,Sen. Ted Cruz [R],Republican
412582,VA,,Yea,Sen. Timothy “Tim” Kaine [D],Democrat
412598,NJ,,Yea,Sen. Cory Booker [D],Democrat
412665,AK,,Not Voting,Sen. Dan Sullivan [R],Republican
412667,IA,,Nay,Sen. Joni Ernst [R],Republican
412668,NC,,Nay,Sen. Thom Tillis [R],Republican
412669,SD,,Nay,Sen. Mike Rounds [R],Republican
412671,NE,,Nay,"Sen. Benjamin “Ben” Sasse [R, 2015-2023]",Republican
412679,LA,,Nay,"Sen. John Neely Kennedy [R, 2017-2028]",Republican
412680,NH,,Yea,"Sen. Margaret “Maggie” Hassan [D, 2017-2028]",Democrat
412681,NV,,Yea,"Sen. Catherine Cortez Masto [D, 2017-2028]",Democrat
412704,KS,,Nay,Sen. Roger Marshall [R],Republican
412715,NV,,Yea,Sen. Jacky Rosen [D],Democrat
412742,MN,,Yea,Sen. Tina Smith [D],Democrat
412743,MS,,Nay,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Nay,Sen. Rick Scott [R],Republican
412839,IN,,Nay,Sen. Mike Braun [R],Republican
412840,MO,,Nay,Sen. Joshua “Josh” Hawley [R],Republican
412841,UT,,Nay,Sen. Mitt Romney [R],Republican
456794,AZ,,Yea,"Sen. Mark Kelly [D, 2020-2028]",Democrat
456796,AL,,Nay,Sen. Tommy Tuberville [R],Republican
456797,CO,,Yea,Sen. John Hickenlooper [D],Democrat
456798,TN,,Nay,Sen. Bill Hagerty [R],Republican
456856,CA,,Yea,"Sen. Alejandro “Alex” Padilla [D, 2021-2028]",Democrat
456857,GA,,Yea,Sen. Jon Ossoff [D],Democrat
456858,GA,,Yea,"Sen. Raphael Warnock [D, 2021-2028]",Democrat
