person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
400004,AL,4,Yea,Rep. Robert Aderholt [R],Republican,"Aderholt, Robert",robert_aderholt,AL,R
400030,GA,2,Nay,Rep. Sanford Bishop [D],Democrat,"Bishop Jr., Sanford ",sanfordbishop,GA,D
400033,OR,3,Nay,Rep. Earl Blumenauer [D],Democrat,"Blumenauer, Earl",repblumenauer,OR,D
400052,TX,26,Yea,Rep. Michael Burgess [R],Republican,"Burgess, Michael",michaelcburgess,TX,R
400057,CA,41,Yea,Rep. Ken Calvert [R],Republican,"Calvert, Ken",kencalvert,CA,R
400068,TX,31,Yea,Rep. John R. Carter [R],Republican,"Carter, John",judgecarter,TX,R
400069,HI,1,Nay,Rep. Ed Case [D],Democrat,"Case, Ed",repedcase,HI,D
400075,SC,6,Nay,Rep. James “Jim” Clyburn [D],Democrat,,,,
400077,OK,4,Yea,Rep. Tom Cole [R],Republican,"Cole, Tom",tomcoleok04,OK,R
400093,IL,7,Nay,Rep. Danny Davis [D],Democrat,Danny Davis D-IL,repdannydavis,IL,D
400101,CO,1,Nay,Rep. Diana DeGette [D],Democrat,"DeGette, Diana",repdianadegette,CO,D
400103,CT,3,Nay,Rep. Rosa DeLauro [D],Democrat,"DeLauro, Rosa ",rosadelauro,CT,D
400108,FL,26,Yea,Rep. Mario Diaz-Balart [R],Republican,"Diaz-Balart, Mario",mariodb,FL,R
400111,TX,37,Nay,Rep. Lloyd Doggett [D],Democrat,"Doggett, Lloyd",replloyddoggett,TX,D
400124,CA,16,Nay,Rep. Anna Eshoo [D],Democrat,Anna Eshoo D-CA,repannaeshoo,CA,D
400157,TX,12,Not Voting,Rep. Kay Granger [R],Republican,"Granger, Kay",repkaygranger,TX,R
400158,MO,6,Yea,Rep. Sam Graves [R],Republican,"Graves, Sam",repsamgraves,MO,R
400162,AZ,7,Not Voting,Rep. Raúl Grijalva [D],Democrat,"Grijalva, Raul",repraulgrijalva,AZ,D
400189,MD,5,Nay,Rep. Steny Hoyer [D],Democrat,"Hoyer, Steny",repstenyhoyer,MD,D
400196,CA,48,Yea,Rep. Darrell Issa [R],Republican,"Issa, Darrell",repdarrellissa,CA,R
400199,TX,18,Not Voting,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,"Jackson Lee, Sheila",jacksonleetx18,TX,D
400211,OH,9,Nay,Rep. Marcy Kaptur [D],Democrat,"Kaptur, Marcy",repmarcykaptur,OH,D
400232,WA,2,Nay,Rep. Rick Larsen [D],Democrat,"Larsen, Rick",repricklarsen,WA,D
400233,CT,1,Nay,Rep. John Larson [D],Democrat,John Larson D-CT,repjohnlarson,CT,D
400237,CA,12,Nay,Rep. Barbara Lee [D],Democrat,Barbara Lee D-CA,repbarbaralee,CA,D
400245,CA,18,Nay,Rep. Zoe Lofgren [D],Democrat,"Lofgren, Zoe",repzoelofgren,CA,D
400247,OK,3,Yea,Rep. Frank Lucas [R],Republican,Frank Lucas R-OK,repfranklucas,OK,R
400249,MA,8,Nay,Rep. Stephen Lynch [D],Democrat,"Lynch, Stephen ",repstephenlynch,MA,D
400259,MN,4,Nay,Rep. Betty McCollum [D],Democrat,"McCollum, Betty",bettymccollum04,MN,D
400263,MA,2,Nay,Rep. James “Jim” McGovern [D],Democrat,Jim McGovern D-MA,repmcgovern,MA,D
400271,NY,5,Nay,Rep. Gregory Meeks [D],Democrat,Gregory Meeks D-NY,repgregorymeeks,NY,D
