person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
400004,AL,4,Nay,"Rep. Robert Aderholt [R, 1997-2024]",Republican,"Aderholt, Robert",robert_aderholt,AL,R
400030,GA,2,Yea,"Rep. Sanford Bishop [D, 1993-2024]",Democrat,"Bishop Jr., Sanford ",sanfordbishop,GA,D
400033,OR,3,Yea,"Rep. Earl Blumenauer [D, 1996-2024]",Democrat,"Blumenauer, Earl",repblumenauer,OR,D
400046,TX,8,Nay,"Rep. Kevin Brady [R, 1997-2022]",Republican,Kevin Brady R-TX,repkevinbrady,TX,R
400052,TX,26,Nay,"Rep. Michael Burgess [R, 2003-2024]",Republican,"Burgess, Michael",michaelcburgess,TX,R
400057,CA,42,Nay,"Rep. Ken Calvert [R, 2013-2022]",Republican,"Calvert, Ken",kencalvert,CA,R
400068,TX,31,Nay,"Rep. John R. Carter [R, 2003-2024]",Republican,"Carter, John",judgecarter,TX,R
400069,HI,1,Yea,"Rep. Ed Case [D, 2019-2024]",Democrat,"Case, Ed",repedcase,HI,D
400071,OH,1,Nay,"Rep. Steve Chabot [R, 2011-2022]",Republican,Steve Chabot R-OH,repstevechabot,OH,R
400075,SC,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2024]",Democrat,,,,
400077,OK,4,Nay,"Rep. Tom Cole [R, 2003-2024]",Republican,"Cole, Tom",tomcoleok04,OK,R
400081,TN,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat,Jim Cooper D-TN,repjimcooper,TN,D
400093,IL,7,Yea,"Rep. Danny Davis [D, 1997-2024]",Democrat,Danny Davis D-IL,repdannydavis,IL,D
400100,OR,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat,Peter DeFazio D-OR,reppeterdefazio,OR,D
400101,CO,1,Yea,"Rep. Diana DeGette [D, 1997-2024]",Democrat,"DeGette, Diana",repdianadegette,CO,D
400103,CT,3,Yea,"Rep. Rosa DeLauro [D, 1991-2024]",Democrat,"DeLauro, Rosa ",rosadelauro,CT,D
400108,FL,25,Nay,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican,"Diaz-Balart, Mario",mariodb,FL,R
400111,TX,35,Yea,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat,"Doggett, Lloyd",replloyddoggett,TX,D
400114,PA,18,Yea,"Rep. Michael Doyle [D, 2019-2022]",Democrat,Mike Doyle D-PA,usrepmikedoyle,PA,D
400124,CA,18,Yea,"Rep. Anna Eshoo [D, 2013-2022]",Democrat,Anna Eshoo D-CA,repannaeshoo,CA,D
400157,TX,12,Nay,"Rep. Kay Granger [R, 1997-2024]",Republican,"Granger, Kay",repkaygranger,TX,R
400158,MO,6,Nay,"Rep. Sam Graves [R, 2001-2024]",Republican,"Graves, Sam",repsamgraves,MO,R
400162,AZ,3,Yea,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,"Grijalva, Raul",repraulgrijalva,AZ,D
400170,FL,20,Yea,"Rep. Alcee Hastings [D, 2013-2021]",Democrat,Alcee Hastings D-FL,rephastingsfl,FL,D
400189,MD,5,Yea,"Rep. Steny Hoyer [D, 1981-2024]",Democrat,"Hoyer, Steny",repstenyhoyer,MD,D
400196,CA,50,Nay,"Rep. Darrell Issa [R, 2021-2022]",Republican,"Issa, Darrell",repdarrellissa,CA,R
400199,TX,18,Yea,"Rep. Sheila Jackson Lee [D, 1995-2024]",Democrat,"Jackson Lee, Sheila",jacksonleetx18,TX,D
400204,TX,30,Yea,"Rep. Eddie Bernice Johnson [D, 1993-2022]",Democrat,E.B. Johnson D-TX,repebj,TX,D
